Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Periodo,Total,Provincias_Cod,Año,Mes,Total_scaled
Total Nacional,0,0,2024-08-01,1.5,0,2024,8,0.28834355828220853
Total Nacional,0,0,2024-02-01,1.33,0,2024,2,0.25357873210633947
Total Nacional,0,0,2023-08-01,1.29,0,2023,8,0.24539877300613494
Total Nacional,0,0,2023-02-01,1.21,0,2023,2,0.22903885480572592
Total Nacional,0,0,2022-08-01,1.24,0,2022,8,0.23517382413087928
Total Nacional,0,0,2022-02-01,1.13,0,2022,2,0.21267893660531692
Total Nacional,0,0,2021-08-01,1.22,0,2021,8,0.23108384458077705
Total Nacional,0,0,2021-02-01,1.17,0,2021,2,0.22085889570552142
Total Nacional,0,0,2020-08-01,1.28,0,2020,8,0.2433537832310838
Total Nacional,01 Andalucía,0,2024-08-01,1.89,0,2024,8,0.3680981595092024
Total Nacional,01 Andalucía,0,2024-02-01,1.76,0,2024,2,0.3415132924335378
Total Nacional,01 Andalucía,0,2023-08-01,1.69,0,2023,8,0.3271983640081799
Total Nacional,01 Andalucía,0,2023-02-01,1.61,0,2023,2,0.3108384458077709
Total Nacional,01 Andalucía,0,2022-08-01,1.61,0,2022,8,0.3108384458077709
Total Nacional,01 Andalucía,0,2022-02-01,1.4,0,2022,2,0.2678936605316973
Total Nacional,01 Andalucía,0,2021-08-01,1.45,0,2021,8,0.27811860940695293
Total Nacional,01 Andalucía,0,2021-02-01,1.41,0,2021,2,0.2699386503067484
Total Nacional,01 Andalucía,0,2020-08-01,1.55,0,2020,8,0.2985685071574642
Total Nacional,01 Andalucía,04 Almería,2024-08-01,1.52,4,2024,8,0.2924335378323108
Total Nacional,01 Andalucía,04 Almería,2024-02-01,1.46,4,2024,2,0.28016359918200406
Total Nacional,01 Andalucía,04 Almería,2023-08-01,1.49,4,2023,8,0.2862985685071574
Total Nacional,01 Andalucía,04 Almería,2023-02-01,1.3,4,2023,2,0.24744376278118607
Total Nacional,01 Andalucía,04 Almería,2022-08-01,1.35,4,2022,8,0.2576687116564417
Total Nacional,01 Andalucía,04 Almería,2022-02-01,1.13,4,2022,2,0.21267893660531692
Total Nacional,01 Andalucía,04 Almería,2021-08-01,1.23,4,2021,8,0.2331288343558282
Total Nacional,01 Andalucía,04 Almería,2021-02-01,1.13,4,2021,2,0.21267893660531692
Total Nacional,01 Andalucía,04 Almería,2020-08-01,1.22,4,2020,8,0.23108384458077705
Total Nacional,01 Andalucía,11 Cádiz,2024-08-01,2.46,11,2024,8,0.48466257668711654
Total Nacional,01 Andalucía,11 Cádiz,2024-02-01,2.24,11,2024,2,0.4396728016359918
Total Nacional,01 Andalucía,11 Cádiz,2023-08-01,2.3,11,2023,8,0.4519427402862985
Total Nacional,01 Andalucía,11 Cádiz,2023-02-01,2.01,11,2023,2,0.39263803680981585
Total Nacional,01 Andalucía,11 Cádiz,2022-08-01,2.16,11,2022,8,0.4233128834355828
Total Nacional,01 Andalucía,11 Cádiz,2022-02-01,1.74,11,2022,2,0.3374233128834355
Total Nacional,01 Andalucía,11 Cádiz,2021-08-01,1.9,11,2021,8,0.3701431492842535
Total Nacional,01 Andalucía,11 Cádiz,2021-02-01,1.75,11,2021,2,0.33946830265848665
Total Nacional,01 Andalucía,11 Cádiz,2020-08-01,1.91,11,2020,8,0.37218813905930465
Total Nacional,01 Andalucía,14 Córdoba,2024-08-01,0.62,14,2024,8,0.10838445807770958
Total Nacional,01 Andalucía,14 Córdoba,2024-02-01,0.61,14,2024,2,0.10633946830265847
Total Nacional,01 Andalucía,14 Córdoba,2023-08-01,0.54,14,2023,8,0.09202453987730061
Total Nacional,01 Andalucía,14 Córdoba,2023-02-01,0.51,14,2023,2,0.08588957055214724
Total Nacional,01 Andalucía,14 Córdoba,2022-08-01,0.46,14,2022,8,0.07566462167689161
Total Nacional,01 Andalucía,14 Córdoba,2022-02-01,0.39,14,2022,2,0.06134969325153374
Total Nacional,01 Andalucía,14 Córdoba,2021-08-01,0.38,14,2021,8,0.05930470347648261
